output_folder_name	iter	seed	best_model_training_loss	best_model_validation_loss	min_val_loss_epoch
./res/nFeatures_142__nSignatures_2__nIters_2__nEpochs_100__batchSize_64__l1Size_128__validationPerc_10__normalization_no__allow_negative_weights_yes__seed_142058496/	1.0	142058496.0	0.41666113254891246	0.46559765934944153	68.0
./res/nFeatures_142__nSignatures_2__nIters_2__nEpochs_100__batchSize_64__l1Size_128__validationPerc_10__normalization_no__allow_negative_weights_yes__seed_142058496/	2.0	142058497.0	0.4404159350724687	0.44153493642807007	94.0
